0,1,2,3,4,5,6,7,8,9,10,11,12
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-302 SMEC,SMEC B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-303 SMEC,SMEC B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-4,AB1-402 SMEC,SMEC B1+T,B1+TB1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-4,AB1-408 SMEC,SMEC B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-301 SMEC,SMEC B2+T,B2+TB2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB2-3,AB2-302 SMEC,SMEC B2+T,B2+TB2 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-4,AB1-402 SMEC,SMEC B2+T,B2+TB2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-301 SENS,SENSE B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-302 SENS,SENSE B1+T,B1+TB1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-308 SENS,SENSE B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-309 SENS,SENSE B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-6,AB1-608 SENS,SENSE B1+T,B1+TB1 FACE,FACE FACE,FACE (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-6,AB1-609 SENS,SENSE B1+T,B1+TB1 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-6,AB1-610 SENS,SENSE B1+T,B1+TB1 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-301 SENS,SENSE B2+T,B2+TB2 SIXPH,SIXPHRASESIXPH,ESIXPHRASE(APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-302 SENS,SENSE B2+T,B2+TB2 ETHN,ETHNUS ETHN,ETHNUS (APT)
BASTS101 Quali,Qualitative and Quantitative Skills Practice I SS,SS 3,3 0,0 0,0 0,0 1,1 AB1-3,AB1-308 SENS,SENSE B2+T,B2+TB2 FACE,FACE FACE,FACE (APT)
